sourceId,sourceName,author,title,description,url,urlToImage,publishedAt,content
cnn-technology,CNN Indonesia Teknologi,,Harga Ponsel Semakin Mahal Imbas Kurs Dolar AS Naik,Harga ponsel di Indonesia berpotensi naik akibat melemahnya rupiah. Kenaikan harga sudah lebih dulu naik sejak awal tahun imbas krisis memori.,https://www.cnnindonesia.com/teknologi/20260603231139-206-1365111/dolar-as-tembus-rp18-ribu-siap-siap-harga-hp-lebih-mahal,https://akcdn.detik.net.id/visual/2025/10/02/vivo-v60-lite-resmi-dirilis-di-indonesia-harga-mulai-rp3-jutaan-1759386345017_169.jpeg?w=360&q=90,2026-06-04T01:00:30.000Z,Harga ponsel di Indonesia berpotensi naik akibat melemahnya rupiah. Kenaikan harga sudah lebih dulu naik sejak awal tahun imbas krisis memori.
liputan6-technology,Liputan6.com Tekno,,"Instagram Mulai Batasi Konten Diet dan Anxiety untuk Remaja, Ada Apa?","Meta mulai membatasi jenis konten yang dapat dikonsumsi oleh pengguna remaja di Instagram, termasuk soal diet hingga anxiety. Ini alasannya...",https://www.liputan6.com/tekno/read/7595624/instagram-mulai-batasi-konten-diet-dan-anxiety-untuk-remaja-ada-apa,https://cdn0-production-images-kly.akamaized.net/X4DetNJXKPPTaspaHZyizSat-Vo=/673x379/smart/filters:quality(75):strip_icc()/kly-media-production/medias/4330348/original/076384400_1676881977-Instagram_dan_Facebook__dole777-unsplash_.jpg,2026-06-04T01:00:27.000Z,"Meta mulai membatasi jenis konten yang dapat dikonsumsi oleh pengguna remaja di Instagram, termasuk soal diet hingga anxiety. Ini alasannya..."
suara-general,Suara.com,,"Lepas Bek Layvin Kurzawa, Persib Bandung Ucap Pesan Menyentuh - Suara.com","Lepas Bek Layvin Kurzawa, Persib Bandung Ucap Pesan Menyentuh Suara.com",https://news.google.com/rss/articles/CBMiqAFBVV95cUxPV3ZOOUtLeEJEZHZWWXN6NnRpUzVYM3JvVWc0NWE1TXVySnU0bFBtQ2lweXhnYWFjaWo4TU1BM2wySXJSb0tfVnl5aGdoZ3lISXdIZVBqNklBTFo0cjY1TzdtMHc2dmxPREpLd2kwZU1ZOWVoT1BEcGUtWUQzakF1LWZvc2Vkek5yemxHMGpYQVVhcFA3TVNPWjU3Mm5PTWVHanhsdWhIVHTSAagBQVVfeXFMTXZ2OEZiajhRS3FpR1lVek5yRGhCNEZxZzNhYWNSOWhLa1VoMmxpT291NWVLR2t4eWJBN0VGc3dNZDhwNFJGTFJuYTc5UmIwSW1iUHBUTEFXSDc3ZjRyd2hoSlJhUGFpTVo0dk1uWnhaemY0S3R4OHRBZENndjJsUWpvajdoUDVDLVl0LUpyWURzTk5DRVdHNUhrWDJKd0cyNnhLVE5CWDhD?oc=5,,2026-06-04T01:00:26.000Z,"Lepas Bek Layvin Kurzawa, Persib Bandung Ucap Pesan Menyentuh Suara.com"
cnbc-business,CNBC Indonesia Market,,"IHSG Rontok, Influencer Saham Ini Boncos Rp1,7 Miliar dalam Sehari","Investor ritel, termasuk influencer saham, mengalami kerugian besar.",https://www.cnbcindonesia.com/market/20260603231925-17-739921/ihsg-rontok-influencer-saham-ini-boncos-rp17-miliar-dalam-sehari,https://akcdn.detik.net.id/visual/2026/05/19/indeks-harga-saham-gabungan-ihsg-kembali-anjlok-signifikan-pada-perdagangan-hari-ini-selasa-1952026-1779182444047_169.jpeg?w=1200&q=90,2026-06-04T01:00:25.000Z,"Investor ritel, termasuk influencer saham, mengalami kerugian besar."
detik-sports,DetikSport Sepakbola,,Daftar Pelatih Bayaran Tertinggi di Piala Dunia 2026,Beberapa pelatih tim nasional yang berpartisipasi di Piala Dunia 2026 mendapat bayaran tinggi. Siapa yang paling mahal dibayar?,https://sport.detik.com/sepakbola/bola-dunia/d-8517003/daftar-pelatih-bayaran-tertinggi-di-piala-dunia-2026,https://akcdn.detik.net.id/community/media/visual/2026/01/16/carlo-ancelotti-1768500714343_169.jpeg?w=360&q=90,2026-06-04T01:00:16.000Z,Beberapa pelatih tim nasional yang berpartisipasi di Piala Dunia 2026 mendapat bayaran tinggi. Siapa yang paling mahal dibayar?
bisnis-general,Bisnis.com,,"CGV (BLTZ) Catat Pendapatan Rp214,05 Miliar di Kuartal I/2026, Tumbuh dari Tahun Lalu - Bisnis.com","CGV (BLTZ) Catat Pendapatan Rp214,05 Miliar di Kuartal I/2026, Tumbuh dari Tahun Lalu Bisnis.com",https://news.google.com/rss/articles/CBMixAFBVV95cUxOaEtpTk5uSzJKN0k4bkNtY1pLUFYyd3pqOVNJb3c2Z0RVOXNCc3RaMWZSU0lhN2l3bFpNU3RhT2pBdEJodlk2d0FLMkM1Wkc0TE5VaDJJeGEtOXRUSDVMN2ZiNzMtVnVPZmJoRVBEeVYteWN1MmRNSnphRHZJbDVpcTB5dnRlZGllLU5VeDMxYTNLMk1uNVhwbkZTTVZIVmNVVVZSY01YTi1vVF9ORDk4QV9HZm8zcHp4LUQ3c1ZUVkQ5VExJ?oc=5,,2026-06-04T01:00:09.000Z,"CGV (BLTZ) Catat Pendapatan Rp214,05 Miliar di Kuartal I/2026, Tumbuh dari Tahun Lalu Bisnis.com"
alinea-general,Alinea.id,,Waspada! 8 gas beracun ini bisa mengancam nyawa tanpa disadari,"Kenali 8 jenis gas beracun yang berbahaya bagi kesehatan, mulai dari karbon monoksida hingga hidrogen sulfida yang dapat memicu kematian.",https://www.alinea.id/gaya-hidup/8-gas-beracun-yang-bisa-mengancam-nyawa-tanpa-disadari-b2pWc9SoZ,https://www.alinea.id/gaya-hidup/8-gas-beracun-yang-bisa-mengancam-nyawa-tanpa-disadari-b2pWc9SoZ,2026-06-04T01:00:00.000Z,"Kenali 8 jenis gas beracun yang berbahaya bagi kesehatan, mulai dari karbon monoksida hingga hidrogen sulfida yang dapat memicu kematian."
validnews-general,Validnews,,Wamen Imipas Silmy Karim Datangi KPK - Validnews,Wamen Imipas Silmy Karim Datangi KPK Validnews,https://news.google.com/rss/articles/CBMiekFVX3lxTFB0WUMxSFZzN1JpY1Q4TGhVanhwdFBYX2FiMXB4NlkwN3JjLVNrdHh0OUpKb1hPU29LVkIwVGE0aTRrTGlTWDVCX2d0dGM4Q1YxWDlzSHI2UldEV2tHcDk5VXhOczNkaDhLdnc0eEVYUEtvTVF5Mlo5NWpB?oc=5,,2026-06-04T01:00:00.000Z,Wamen Imipas Silmy Karim Datangi KPK Validnews
tirto-general,Tirto.id,,"GetGo Smashes $100,000 Car Ownership Burden in Campaign for Sustainable Mobility - Tirto.id","GetGo Smashes $100,000 Car Ownership Burden in Campaign for Sustainable Mobility Tirto.id",https://news.google.com/rss/articles/CBMiogFBVV95cUxOajc2X19YdUhUYmRicEw0SHRfQnpBVy0tbUNWenpMd0t0MmNuVlU4VjZKcTRHRkk4RUVDeW5zTmdFWVNIcW4tWDdBVGZ3ZVpoa0UzZTlHeVFneE9rY0l5RU1WRHZNR0hmOGRNaGw5MlVhOGFvRVNydUN1NDI5VHlRdU5mRWV1elpwc3UzWnQ2RzJEWEMtMFZubnRXS01ZcWFFMWc?oc=5,,2026-06-04T01:00:00.000Z,"GetGo Smashes $100,000 Car Ownership Burden in Campaign for Sustainable Mobility Tirto.id"
tirto-general,Tirto.id,,"Getac's new 8-inch ZX80W and ZX80W-EX tablets blend Windows 11 functionality with energy-efficient fanless design, for all-day productivity in the field - Tirto.id","Getac's new 8-inch ZX80W and ZX80W-EX tablets blend Windows 11 functionality with energy-efficient fanless design, for all-day productivity in the field Tirto.id",https://news.google.com/rss/articles/CBMi1wFBVV95cUxNdjByMVpzNEw1VXNBV3VvSDFjS3c2UjJYeFBlLUhKRWlTQ0Q5STRlUWlBM2VkRWZEV2lRNHRnSDR2dlRKOVdhNlo1QUJoZTNCcUpkMVBZcm1SX1RqZGNVR1RCdkFva1UyV0hFeTRZbVpkRGRSdGt4bjUxSjRzZGN4NVNxRXJSVXVuaElSbzE2NEc2eDRCMk83Mk5QaHVMa1IyVXY1clVaNnlpd2JZblBJOHVIX3V6QWhPMml6Q1I1OXNBTTdpc19YSTAyWHJReHBrbUZKcWZGZw?oc=5,,2026-06-04T01:00:00.000Z,"Getac's new 8-inch ZX80W and ZX80W-EX tablets blend Windows 11 functionality with energy-efficient fanless design, for all-day productivity in the field Tirto.id"
